title,artist,key,spotifyTrackId,delay,difficulty
Dynamite,BTS,dynamite_bts,0t1kP63rueHleOhQkYSXFY,0,impossible
Blinding Lights,The Weeknd,blindingLights_theWeeknd,0VjIjW4GlUZAMYd2vXMi3b,0,hard
Believer,Imagine Dragons,believer_imagineDragons,0pqnGHJpmpxLKifKRmU6WP,0,hard
All of Me,John Legend,allOfMe_johnLegend,3U4isOIWM3VvDubwSI3y7a,7,medium
The A Team,Ed Sheeran,theATeam_edSheeran,1VdZ0vKfR5jneCmWIUAMxK,0,hard
Hello,Adele,hello_adele,4sPmO7WMQUAf45kwMOtONw,-0.5,easy
I Like Me Better,Lauv,iLikeMeBetter_lauv,2P91MQbaiQOfbiz9VqhqKQ,0,hard
Circles,Post Malone,circles_postMalone,21jGcNKet2qwijlDFuPiPb,5.5,medium
Piano Man,Billy Joel,pianoMan_billyJoel,70C4NyhjD5OZUMzvWZ3njJ,-0.5,easy
Yellow,Coldplay,yellow_coldplay,3AJwUDP919kvQ9QcozQPxg,0,easy
The Scientist,Coldplay,theScientist_coldplay,75JFxkI2RXiU7L9VXzMkle,2,easy
Watermelon Sugar,Harry Styles,watermelonSugar_harryStyles,6UelLqGlWMcVH1E5c4H7lY,11,hard
